machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
monet;512;8;8;1;rotation90;seq;default;200;static;cores;;none;86732
monet;1024;8;8;1;rotation90;seq;default;200;static;cores;;none;770909
monet;2048;8;8;1;rotation90;seq;default;200;static;cores;;none;7826168
monet;512;8;8;1;rotation90;seq;default;200;static;cores;;none;98933
monet;1024;8;8;1;rotation90;seq;default;200;static;cores;;none;763389
monet;2048;8;8;1;rotation90;seq;default;200;static;cores;;none;6840951
monet;4096;8;8;1;rotation90;seq;default;200;static;cores;;none;44629801
monet;512;16;16;1;rotation90;seq;default;200;static;cores;;none;94176
monet;1024;16;16;1;rotation90;seq;default;200;static;cores;;none;767016
monet;2048;16;16;1;rotation90;seq;default;200;static;cores;;none;6746325
monet;4096;16;16;1;rotation90;seq;default;200;static;cores;;none;44717290
monet;512;32;32;1;rotation90;seq;default;200;static;cores;;none;102979
monet;1024;32;32;1;rotation90;seq;default;200;static;cores;;none;760996
monet;2048;32;32;1;rotation90;seq;default;200;static;cores;;none;6799156
monet;4096;32;32;1;rotation90;seq;default;200;static;cores;;none;43872080
monet;512;8;8;1;rotation90;tiled;default;200;static;cores;;none;82539
monet;1024;8;8;1;rotation90;tiled;default;200;static;cores;;none;337193
monet;2048;8;8;1;rotation90;tiled;default;200;static;cores;;none;2691629
monet;4096;8;8;1;rotation90;tiled;default;200;static;cores;;none;11035062
monet;512;16;16;1;rotation90;tiled;default;200;static;cores;;none;77046
monet;1024;16;16;1;rotation90;tiled;default;200;static;cores;;none;281361
monet;2048;16;16;1;rotation90;tiled;default;200;static;cores;;none;1440544
monet;4096;16;16;1;rotation90;tiled;default;200;static;cores;;none;5925712
monet;512;32;32;1;rotation90;tiled;default;200;static;cores;;none;71422
monet;1024;32;32;1;rotation90;tiled;default;200;static;cores;;none;314112
monet;2048;32;32;1;rotation90;tiled;default;200;static;cores;;none;1690303
monet;4096;32;32;1;rotation90;tiled;default;200;static;cores;;none;7789034
monet;512;8;8;1;rotation90;omp_tiled;default;200;static;cores;;none;82750
monet;1024;8;8;1;rotation90;omp_tiled;default;200;static;cores;;none;339456
