machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
miro;1024;8;8;4;spin;omp;default;20;static;cores;;none;252830
miro;1024;32;32;4;spin;omp;default;20;static;cores;;none;241832
miro;1024;128;128;4;spin;omp;default;20;static;cores;;none;243724
miro;1024;8;8;4;spin;omp;default;20;dynamic;cores;;none;229374
miro;1024;32;32;4;spin;omp;default;20;dynamic;cores;;none;230363
miro;1024;128;128;4;spin;omp;default;20;dynamic;cores;;none;242178
miro;1024;8;8;8;spin;omp;default;20;static;cores;;none;133459
miro;1024;32;32;8;spin;omp;default;20;static;cores;;none;133142
miro;1024;128;128;8;spin;omp;default;20;static;cores;;none;131374
miro;1024;8;8;8;spin;omp;default;20;dynamic;cores;;none;124018
miro;1024;32;32;8;spin;omp;default;20;dynamic;cores;;none;127029
miro;1024;128;128;8;spin;omp;default;20;dynamic;cores;;none;129245
miro;1024;8;8;12;spin;omp;default;20;static;cores;;none;102371
miro;1024;32;32;12;spin;omp;default;20;static;cores;;none;103498
miro;1024;128;128;12;spin;omp;default;20;static;cores;;none;130951
miro;1024;8;8;12;spin;omp;default;20;dynamic;cores;;none;89087
miro;1024;32;32;12;spin;omp;default;20;dynamic;cores;;none;101134
miro;1024;128;128;12;spin;omp;default;20;dynamic;cores;;none;129525
miro;1024;8;8;16;spin;omp;default;20;static;cores;;none;79415
miro;1024;32;32;16;spin;omp;default;20;static;cores;;none;75780
miro;1024;128;128;16;spin;omp;default;20;static;cores;;none;131399
miro;1024;8;8;16;spin;omp;default;20;dynamic;cores;;none;73066
miro;1024;32;32;16;spin;omp;default;20;dynamic;cores;;none;79432
miro;1024;128;128;16;spin;omp;default;20;dynamic;cores;;none;132063
miro;1024;8;8;20;spin;omp;default;20;static;cores;;none;72445
miro;1024;32;32;20;spin;omp;default;20;static;cores;;none;76653
miro;1024;128;128;20;spin;omp;default;20;static;cores;;none;135930
miro;1024;8;8;20;spin;omp;default;20;dynamic;cores;;none;62100
miro;1024;32;32;20;spin;omp;default;20;dynamic;cores;;none;73662
miro;1024;128;128;20;spin;omp;default;20;dynamic;cores;;none;130918
miro;1024;8;8;24;spin;omp;default;20;static;cores;;none;63546
miro;1024;32;32;24;spin;omp;default;20;static;cores;;none;75221
miro;1024;128;128;24;spin;omp;default;20;static;cores;;none;129831
miro;1024;8;8;24;spin;omp;default;20;dynamic;cores;;none;56808
miro;1024;32;32;24;spin;omp;default;20;dynamic;cores;;none;70557
